Questions,Answers
Is there a limit on cash payment?,"Yes, cash payment limits apply.  "
Can I send packages to the hotel?,"Yes, you can send packages to hotel.  "
Can I use digital payments?,"Yes, digital payments accepted.  "
Do you offer itemized bills?,"Yes, itemized bills provided.  "
Can I change payment at checkout?,"Yes, payment method can be changed.  "
Do you provide currency exchange?,"Yes, currency exchange available.  "
Are rooms soundproof?,"No, rooms are not fully soundproof.  "
Can I store luggage before check-in?,"Yes, luggage storage before check-in.  "
Do rooms have refrigerators?,"Yes, refrigerators in rooms.  "
Do you have security staff?,"Yes, security staff on-site.  "
Are there outdoor activities available?,"Yes, outdoor activities offered.  "
Are there eco-friendly options?,"Yes, eco-friendly options available."
Can I request a city view room?,"Yes, city view rooms available on request.  "
Do you provide hypoallergenic pillows?,"Yes, hypoallergenic pillows available.  "
Can I book without a credit card?,"Yes, some bookings don’t require credit card.  "
Is VAT included in the bill?,"Yes, VAT is included and receipt provided.  "
Do you have honeymoon suites?,"No honeymoon suites, but Super Comfort is recommended.  "
Can I get a room with a balcony?,"Yes, Family room has a balcony.  "
Are bathrobes provided?,"No, bathrobes not mentioned in dataset.  "
Is there a dress code for dining?,Casual dress code in restaurant.
Do you offer direct billing to companies?,"Yes, direct billing available for companies.  "
Do rooms have work desks?,"Yes, work desks in Super Comfort rooms.  "
Is there a limit on room charges?,"Yes, room charge limits can be set.  "
Can I request air purifiers?,"Yes, air purifiers on request.  "
Do you allow outside visitors?,"No, outside visitors not allowed without approval.  "
Are there quiet hours?,"Yes, quiet hours from 10 PM to 7 AM.  "
Can I get a refund for early checkout?,Refund depends on booking terms.
Do you offer discounts for group bookings?,"Yes, discounts for groups available.  "
Are there special rates for long-term stays?,"Yes, special rates for long stays.  "
Do you offer guided activities?,"Yes, guided activities provided.  "
Can I reserve meeting rooms in advance?,"Yes, meeting rooms can be reserved.  "
Do you offer a best rate guarantee?,"Yes, best rate guarantee offered.  "
Can I book via phone call?,"Yes, booking by phone is possible.  "
Is parking on-site or off-site?,"Yes, on-site parking available.  "
Are beds queen-size or king-size?,"Family room has queen beds, not king.  "
Is security deposit refundable?,"Yes, security deposit is refundable.  "
How far in advance can I modify booking?,Bookings can be modified if availability allows.
Are there electric kettles in rooms?,"Yes, electric kettles are provided in all rooms."
Do you provide free toiletries?,Free toiletries are supplied for every guest.
Can I pay fully in advance?,Full payment in advance is accepted.
Do you offer airport drop-off?,Airport drop-off service is not available.
Is there a charge for room service?,Room service is available but charges apply.
Can I order vegetarian food?,Vegetarian food can be ordered.
Are gluten-free meals available?,Gluten-free meals are not available.
Do you provide maps of the city?,Maps of the city are provided to guests.
Do you offer massage services?,Massage services are not offered.
Are there elevators in the hotel?,The hotel has elevators for guest convenience.
Can I get extra blankets?,Extra blankets can be requested.
Are there safes in the rooms?,Safes are available in the rooms for valuables.
Do you offer packages for couples?,Packages for couples are not offered.
Is there a playground for kids?,There is a playground available for children.
Do you provide umbrellas when raining?,Umbrellas are not provided when it rains.
Can I make international calls from room?,International calls can be made from rooms.
Are conference rooms big or small?,Conference rooms are small in size.
Are meeting rooms air-conditioned?,Meeting rooms are air-conditioned.
Do you offer day-use rooms?,Day-use rooms are not offered.
Do you accept Google Pay?,Google Pay is not accepted as a payment method.
Can I request a specific floor?,Guests can request a specific floor when booking.
Do rooms have blackout curtains?,Rooms are equipped with blackout curtains.
Are microwaves available in rooms?,Microwaves are not available in rooms.
Are there tea/coffee sachets provided?,Tea and coffee sachets are provided in rooms.
Do rooms have USB charging points?,USB charging points are not available in rooms.
Is Wi-Fi available in rooms?,"Yes, Wi-Fi is available in all rooms."
Do you provide laundry services?,Laundry services are provided for guests.
Is parking free for guests?,Parking is free for hotel guests.
Can I check in early?,Early check-in is not allowed.
Are pets allowed?,Pets are not permitted in the hotel.
Is breakfast included in the room rate?,Breakfast is included in the room rate.
Do rooms have air conditioning?,Rooms are equipped with air conditioning.
Is there a gym in the hotel?,The hotel does not have a gym.
Can I get a wake-up call?,Wake-up call service is available.
Are smoking rooms available?,Smoking rooms are not available.
Is there a 24-hour front desk?,The front desk operates 24 hours a day.
Do you offer shuttle service to nearby attractions?,Shuttle service to nearby attractions is not offered.
Can I store my luggage after checkout?,Guests can store their luggage after checkout.
Are there vending machines?,Vending machines are not available on site.
Is there a restaurant on site?,There is a restaurant on the hotel premises.
Can I book a taxi through the hotel?,The hotel can assist in booking taxis.
Do rooms have hair dryers?,Hair dryers are provided in the rooms.
Are extra beds available?,Extra beds can be arranged upon request.
Is there a business center?,A business center is not available at the hotel.
Are pets allowed in dining areas?,Pets are not allowed in dining areas.
Free Wi-Fi?,Yes
check-in and check-out times?,Check-in 2 PM and check-out until 12 PM.
Can I bring my pet to the hotel?,"Sorry, pets are not allowed at our property."
Is breakfast included in the room rate?,Breakfast may be included depending on the room type.
Do the rooms have air conditioning?,"Yes, all rooms are air-conditioned."
Is there parking available on site?,"Yes, we provide free parking on-site."
Do you provide airport shuttle service?,"Yes, airport shuttle service is available on request."
Can I cancel my booking without a fee?,"Yes, cancellations are free if made within policy terms."
Are extra beds available?,Extra beds are available for an additional charge.
Do you have a restaurant in the hotel?,"Yes, we have an on-site restaurant serving various cuisines."
Is the front desk open 24 hours?,"Yes, our front desk operates 24 hours a day."
Do you provide laundry service?,Laundry services are available at an additional cost.
Can I store my luggage after checkout?,"Yes, we offer free luggage storage after checkout."
Do you offer a fitness center?,We have a fully equipped fitness center.
Is there a swimming pool in the hotel?,"Yes, we have a clean outdoor swimming pool."
Do rooms come with a private bathroom?,"Yes, each room has a private bathroom with a shower."
Are there smoking rooms available?,Smoking rooms are not available; our property is smoke-free.
Do you allow early check-in?,Early check-in is available based on room availability.
Can I make special requests during booking?,"Yes, you can add special requests during your booking."
Is room service available?,"Yes, room service is available during specific hours."
Are there any tourist attractions nearby?,We are located near popular local attractions.
Do you have free toiletries in the bathroom?,"Yes, complimentary toiletries are provided in all bathrooms."
Is there a minibar in the rooms?,"Yes, rooms are equipped with a stocked minibar."
Are towels and linens included?,"Yes, we provide clean towels and bed linens."
Do you provide daily housekeeping?,Daily housekeeping is included in your stay.
Is there a hairdryer in the room?,"Yes, all rooms have a hairdryer."
Do you accept credit card payments?,"Yes, we accept all major credit cards."
Can I get a wake-up call service?,"Yes, wake-up call service is available on request."
Are there family rooms available?,We offer spacious family rooms suitable for groups.
Is there a safety deposit box in the room?,"Yes, a safety deposit box is available in every room."
Do you allow late check-out?,Late check-out can be arranged upon request.
Is the property wheelchair accessible?,"Yes, our hotel is wheelchair accessible."
Do you offer meeting or conference rooms?,Meeting and conference rooms can be reserved in advance.
Can I get help with local tour bookings?,"Yes, we can assist with local tours and bookings."
Is there a business center?,"Yes, we have a business center with basic facilities."
Do rooms have a flat-screen TV?,"Yes, every room includes a flat-screen television."
Are pets allowed in all rooms?,Pets are not allowed in guest rooms.
Do you offer shuttle service to attractions?,"Yes, we provide shuttle services to major sites nearby."
Is breakfast buffet or à la carte?,Breakfast includes both buffet and à la carte options.
